geoAreaName,type_of_product_desc,country+type,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,M2000,M2001,M2002,M2003,M2004,M2005,M2006,M2007,M2008,M2009,M2010,M2011,M2012,M2013,M2014,M2015,M2016,M2017,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010,G2011,G2012,G2013,G2014,G2015,G2016,G2017
Brazil,Total or no breakdown,BrazilTotal or no breakdown,1.24245,1.25718,1.24573,1.29327,1.25492,1.23423,1.28893,1.33666,1.38967,1.39029,1.39747,1.41545,1.38097,1.37674,1.36544,1.46597,1.56707,1.59981,10.96949,11.08943,11.13027,11.5382,11.68191,11.71897,12.58218,13.69421,14.81114,14.65354,15.68516,16.36121,16.11732,16.39962,16.20262,16.59772,16.98847,17.3775,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Biomass,BrazilBiomass,0.81303,0.84268,0.84485,0.91664,0.88334,0.86233,0.89614,0.93676,0.98223,0.99089,0.96525,0.95674,0.94135,0.96141,0.9435,1.01613,1.09008,1.11657,7.1782,7.43316,7.54852,8.17803,8.22293,8.18774,8.74788,9.59714,10.46867,10.44389,10.83399,11.05899,10.98653,11.45227,11.19581,11.50464,11.81748,12.12847,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Coal,BrazilCoal,0.01399,0.01293,0.01257,0.01276,0.01252,0.01222,0.01126,0.01144,0.01158,0.00916,0.01047,0.01114,0.01052,0.01181,0.01239,0.01211,0.01283,0.013,0.12352,0.11405,0.11235,0.11386,0.11656,0.11606,0.10992,0.11725,0.1234,0.09653,0.11751,0.12876,0.12278,0.14062,0.147,0.1371,0.13914,0.14117,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Crop residues,BrazilCrop residues,0.23624,0.2631,0.25745,0.29549,0.28162,0.26675,0.28232,0.30669,0.33321,0.33359,0.3289,0.32857,0.32787,0.34619,0.34075,0.3693,0.39829,0.41,2.08575,2.32077,2.30021,2.6363,2.62152,2.53281,2.75594,3.1421,3.55135,3.51597,3.69156,3.79792,3.82659,4.12381,4.04336,4.18117,4.31787,4.45354,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Crops,BrazilCrops,0.30518,0.30959,0.31394,0.34127,0.32909,0.31989,0.33977,0.36412,0.40094,0.41085,0.3984,0.39625,0.37884,0.38954,0.37682,0.40831,0.44028,0.45314,2.69438,2.73084,2.80499,3.0447,3.0635,3.03736,3.31671,3.73043,4.27328,4.33034,4.47168,4.58029,4.42141,4.64023,4.47142,4.62283,4.77302,4.92209,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Ferrous ores,BrazilFerrous ores,0.02582,0.0207,0.01968,0.02544,0.018,0.02061,0.03073,0.03537,0.02721,0.02719,0.02561,0.05216,0.02799,,,,,,0.22797,0.18255,0.17581,0.22697,0.16758,0.19573,0.29996,0.36232,0.29001,0.28657,0.28739,0.60297,0.32667,0,0,0,0,0,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Fossil fuels,BrazilFossil fuels,0.07769,0.07548,0.07377,0.07137,0.07147,0.0707,0.06842,0.06811,0.06907,0.06481,0.06805,0.06929,0.07092,0.07439,0.07814,0.08418,0.08951,0.09093,0.68594,0.66578,0.65911,0.63671,0.66533,0.6713,0.66786,0.6978,0.73613,0.68313,0.76382,0.80095,0.82773,0.88608,0.9272,0.95306,0.97041,0.98774,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Natural gas,BrazilNatural gas,0.0043,0.00539,0.00649,0.00661,0.00772,0.00797,0.00802,0.00768,0.00872,0.00699,0.00881,0.00841,0.00983,0.01125,0.01234,0.01303,0.01416,0.01467,0.03798,0.04752,0.05801,0.05897,0.07188,0.07563,0.07833,0.0787,0.09291,0.07368,0.09892,0.09726,0.11468,0.13395,0.14645,0.14754,0.15348,0.15937,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Grazed biomass and fodder crops,BrazilGrazed biomass and fodder crops,0.17897,0.18386,0.18722,0.18785,0.19085,0.20297,0.20462,0.19866,0.18582,0.18556,0.17858,0.16967,0.1696,0.16511,0.16479,0.17519,0.18555,0.18779,1.58014,1.62178,1.67272,1.67598,1.77658,1.92724,1.99743,2.03525,1.98052,1.9558,2.00436,1.96126,1.97939,1.96675,1.95543,1.98346,2.01158,2.03979,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Metal ores,BrazilMetal ores,0.05358,0.0466,0.04432,0.05137,0.04856,0.05283,0.06334,0.0713,0.06476,0.06122,0.05937,0.08594,0.06418,0.0385,0.03703,0.04019,0.0434,0.04473,0.47306,0.41107,0.39595,0.45835,0.45206,0.50161,0.61835,0.73048,0.69023,0.64529,0.66635,0.99343,0.74904,0.45861,0.43941,0.45503,0.47052,0.48589,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Non-ferrous ores,BrazilNon-ferrous ores,0.02776,0.02591,0.02464,0.02594,0.03056,0.03222,0.03262,0.03593,0.03755,0.03403,0.03376,0.03378,0.03619,0.0385,0.03703,0.04019,0.0434,0.04473,0.24509,0.22852,0.22014,0.23139,0.28447,0.30588,0.31839,0.36816,0.40022,0.35872,0.37896,0.39046,0.42237,0.45861,0.43941,0.45503,0.47052,0.48589,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Non-metallic minerals - industrial or agricultural dominant,BrazilNon-metallic minerals - industrial or agricultural dominant,0.01624,0.01569,0.01623,0.01779,0.01961,0.0165,0.01674,0.01743,0.01627,0.01138,0.01334,0.01468,0.01479,0.01548,0.01535,0.01632,0.0173,0.01751,0.14342,0.13839,0.14497,0.15869,0.18258,0.15663,0.1634,0.17862,0.17341,0.11992,0.14971,0.16966,0.1726,0.18439,0.18209,0.1848,0.18752,0.19024,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
Brazil,Non-metallic minerals - construction dominant,BrazilNon-metallic minerals - construction dominant,0.2819,0.27673,0.26657,0.2361,0.23193,0.23188,0.24429,0.24306,0.25734,0.26198,0.29146,0.28879,0.28973,0.28696,0.29142,0.30915,0.32677,0.33006,2.48887,2.44102,2.38172,2.10643,2.15902,2.20168,2.38469,2.49017,2.74271,2.76131,3.27129,3.33818,3.38142,3.41828,3.45811,3.50018,3.54254,3.58516,2.83,-0.06,1.32,-0.12,4.37,2.03,2.83,4.97,4.05,-1.08,6.52,3.03,1.01,2.11,-0.35,-4.35,-4.07,0.51
